X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
252,478,497,542,614,1726,1961,2116,2930,4278,4499,5958,6325,8323,8704,9586,10497,11182,12087,12857,14056,14520,14943,15634,Bad
350,816,818,882,1111,1284,1405,1430,1473,1658,1898,2294,2369,2749,2793,4076,4706,4829,5398,5620,5802,6135,6220,6301,Normal
417,417,418,436,452,484,651,1792,1909,2254,2261,2556,2738,2829,3076,3332,3512,3710,3852,3956,4236,4323,4509,4555,Good
9,49,53,53,89,176,273,291,341,673,749,1178,1391,1430,1812,1886,2393,2400,2739,2753,2757,2999,3005,3209,Good
0,4,4,7,17,64,129,161,314,430,476,697,856,1323,1654,1764,2085,2177,2484,2785,3149,3297,3447,3447,Good
0,0,0,3,8,78,96,148,236,442,557,757,1019,1179,1304,1693,2191,2450,3533,3709,4488,5085,5375,5686,Normal
120,125,136,195,204,421,473,567,683,705,771,888,1141,1260,1331,1509,1609,1738,2110,2487,2700,3016,3164,3216,Good
361,361,370,370,370,427,458,1153,1215,1313,1647,1942,1953,2128,2216,2391,2634,2912,3019,3127,3599,3768,3781,3918,Good
0,41,56,56,65,94,182,328,437,582,639,682,819,945,1004,1122,1151,1362,1935,2062,2488,2809,2850,2872,Good
857,927,994,995,1107,1198,1373,1584,1858,1999,2215,2403,2651,2771,2983,3045,3257,3500,3546,3665,3889,3998,4001,4020,Good
0,5,70,79,79,92,165,166,306,308,395,414,604,647,1165,1357,1912,2602,2883,3422,3936,4264,4635,5034,Good
1,5,10,124,236,250,341,410,550,633,693,1194,1298,1587,1714,2180,2433,3962,4088,4602,4901,5298,5341,5399,Good
177,180,194,230,340,348,412,482,532,537,629,809,1207,1500,1692,2055,2331,2887,3073,3152,3363,3513,3699,3735,Good
0,0,0,0,34,125,213,447,484,590,610,611,612,764,870,1063,1126,1189,1324,1325,1342,1458,1463,1463,Good
0,0,9,22,27,1024,1116,1140,1254,1398,1639,1971,2304,2451,3367,3547,3913,4303,5011,6086,6731,7395,7714,8051,Normal
11,21,175,175,321,362,435,451,1232,1236,1422,1713,2042,2253,3160,3286,4149,4521,5042,5342,5983,6265,6925,6928,Normal
167,167,446,451,460,481,688,709,850,872,939,1054,1261,1329,1402,1594,1670,1838,1859,1942,2172,2224,2285,2323,Good
0,265,337,348,355,528,594,623,782,957,1040,1058,1151,1214,1326,1364,1497,1517,1570,1606,1686,1699,1823,1823,Good
0,11,11,11,27,38,76,76,182,184,209,324,326,371,389,421,446,588,724,736,736,959,974,974,Good
0,0,19,20,20,87,231,326,480,575,671,762,867,897,936,1435,1596,1857,2012,2115,2543,2664,2809,2832,Good
0,15,25,25,81,109,203,956,987,1293,1571,2122,2173,2506,3099,3219,3685,3874,4549,4895,5143,5895,5927,6232,Normal
0,0,0,36,36,110,145,166,216,221,338,373,426,459,493,706,831,995,1183,1281,1429,1609,1623,1623,Good
0,0,3,3,3,22,109,291,384,435,505,678,734,803,907,1085,1339,1446,1542,1660,1889,2064,2101,2107,Good
0,12,90,180,209,305,572,726,824,1061,1436,1660,1911,2059,2284,2626,2950,3075,3242,3741,4321,4434,4678,4678,Good
0,3,55,76,86,247,424,496,601,788,1072,1126,1384,1523,1641,1684,2037,2502,2558,2892,3047,3330,3540,3680,Good
0,55,55,58,58,92,114,136,230,230,254,277,303,518,526,526,741,766,880,994,1015,1093,1113,1113,Good
13,13,73,73,73,73,73,74,87,108,127,167,302,515,611,782,860,1041,1276,1391,1598,2064,2113,2414,Good
0,0,39,39,39,311,506,689,767,866,990,2018,2084,2236,2424,2906,3453,3654,3759,4048,4338,4398,4822,4845,Good
