"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"457",153,157,1072,1327,1490,2097,5189,7742,8965,10186,11339,12693,14870,16655,19363,21536,24187,27246,30821,32817,34002,34711,35994,36107,"Great"
"458",410,450,503,778,959,1330,2349,2867,3885,5317,7907,9324,11696,15739,18847,21713,25543,30685,36607,40686,43320,46181,47313,47664,"Great"
"459",18,68,79,248,660,1227,4576,5787,9211,11672,16107,19780,25578,29229,35675,41163,48820,56131,64286,68348,74073,78371,80030,80702,"Normal"
"461",233,512,530,639,1595,2497,4691,7210,10433,12778,15538,18294,23762,27475,30457,33066,37196,39929,43387,46304,49401,49893,51066,51939,"Good"
"462",594,632,842,1013,1247,2075,3668,5219,8697,12511,16453,20669,27019,32581,42139,54148,62666,77506,88919,99434,114179,123732,127917,131174,"Bad"
"464",1230,1486,1838,1971,2210,3323,5424,6539,9144,11175,13216,15975,20034,22547,26150,30997,35458,40662,47979,54207,58930,63164,65096,66590,"Good"
"465",161,233,463,864,1812,3002,5695,7441,9572,11663,14455,17195,23148,28281,35976,43216,50044,59366,65697,73311,78608,80049,81587,81772,"Normal"
"466",719,1026,1322,2018,3102,5711,8718,12057,16367,21247,26472,29649,35304,39047,43360,46462,50386,54512,57308,63597,69052,72059,73720,74856,"Good"
"467",497,831,1173,1610,2665,3707,7330,10232,13921,16688,21213,24654,30369,35359,40507,45238,50004,56634,64884,70046,76184,79800,81767,83364,"Normal"
"468",1067,1580,1642,2436,2829,4297,7012,8727,12946,16392,19352,23286,27211,30468,33296,38682,43004,48933,52788,56827,59788,63086,63396,64654,"Good"
"469",84,181,624,959,1341,3501,6303,11159,15488,19779,26669,34928,42497,52082,67302,84249,100761,120954,136055,152217,162773,174550,183767,187495,"Meltdown"
"474",197,290,1089,1355,2451,5527,7555,10695,14913,18341,21207,25029,29732,34707,41902,49151,57710,69564,81151,89442,100586,106463,110156,114856,"Bad"
"475",1165,1763,2047,2725,4141,8988,14259,17360,24933,31594,34570,38221,43134,46883,48884,51781,53878,57655,60082,61912,63201,63998,64381,64381,"Good"
"478",869,1155,1284,2081,2336,3599,4375,6267,9834,11314,15104,16956,19064,20825,23444,25857,28642,30099,31954,33022,34112,35206,36121,36389,"Great"
"479",0,43,143,502,681,1426,3078,4599,6239,7370,8884,11150,12982,14874,17912,20705,24544,30042,34799,38166,41474,43575,44416,45131,"Great"
"480",322,537,576,715,781,1587,2665,4043,6997,8582,11353,14097,18011,20389,24646,26374,28707,32499,36020,37621,39633,41643,42271,42640,"Great"
"481",220,247,335,511,737,2201,3970,6523,8441,9870,12564,16864,21547,26704,31791,38675,44619,54712,62463,69517,75560,80407,82558,82809,"Normal"
"482",569,583,584,1275,1501,2886,4485,8488,9978,12542,15952,20713,23818,31242,35471,42503,45788,52969,58051,62663,66382,68803,69289,69630,"Good"
"483",260,264,403,966,1701,3179,5409,7344,9074,10841,13852,15443,17749,21238,24779,27600,31464,34752,40008,44435,48070,51078,52406,52930,"Good"
"484",209,266,342,707,3471,5616,10557,14950,19659,24547,29222,33853,41172,46608,53117,58807,63807,69808,74519,80202,84624,89238,89965,90826,"Normal"
"486",312,313,435,812,2171,3924,5964,8101,13049,15547,18562,21464,25652,28567,31889,34809,37791,42346,46810,49332,51849,54161,55331,55554,"Good"
"487",33,43,76,611,1108,2415,4941,10198,16531,21036,28277,34166,42040,47356,54952,63246,71773,81262,92998,104020,115634,124925,130939,134633,"Bad"
"489",589,605,1622,1957,3797,6529,14430,16941,22631,26963,31701,37625,40688,43436,45321,47897,51364,54916,56532,58798,60195,61553,62134,62178,"Good"
"490",110,120,124,189,263,1275,1955,4779,7042,8813,11015,14433,18165,20507,25316,29884,34913,39924,46262,50787,55687,59288,60081,60488,"Good"
