X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
369,855,1004,1459,2351,4216,7377,12320,17491,19708,22933,26232,29263,32909,36546,39461,42676,46160,48730,51515,53312,54306,54516,55453,Normal
0,38,111,326,552,1191,1809,4578,6465,7567,8418,9949,10649,11413,12965,13826,15367,17049,17719,19256,20104,20591,20732,20852,Good
54,54,64,245,343,659,1193,3074,3653,4726,5338,6591,8476,9403,11091,12834,15322,17225,19271,20754,21797,22409,22870,22985,Good
0,11,109,352,617,2448,4101,6813,9862,13048,16024,18795,23132,26161,29058,32406,36976,41513,47949,52925,57748,59942,62105,62902,Normal
1471,3037,3735,5964,9108,11812,17082,22930,29043,35353,42330,47593,52491,61484,66932,74393,80435,88366,94881,101504,105685,108674,109902,111834,Bad
102,614,705,1575,2080,2836,6280,8315,11920,14513,17418,21539,25463,29911,34468,39439,44316,50887,57202,61980,66881,68850,69687,69797,Normal
198,205,284,484,822,2131,4264,5171,8032,9481,12027,16491,17818,19933,23186,25925,28028,30196,31586,32697,33616,33857,34045,34045,Good
270,288,377,623,851,1887,3220,6097,7381,9312,11740,13784,16746,19351,22107,28556,37320,46599,56588,64439,76404,82537,86782,89342,Bad
1335,1975,2322,3768,5203,6344,9029,12743,15011,17271,20694,24295,27881,31108,35204,38984,43623,47510,50415,53986,56591,58011,59120,60413,Normal
269,816,957,1231,1474,2765,3344,4207,5432,6806,8663,10869,13251,16440,20838,27110,33681,40459,47589,52405,56857,59558,61594,61594,Normal
241,414,473,697,1111,2502,3660,5333,6845,8829,10709,12671,14721,17613,21450,24301,27871,30856,33920,36262,38062,39184,39863,40114,Good
21,65,240,456,815,1790,2591,3969,5133,6719,8633,10852,12892,16884,19455,21973,23962,26174,29285,32784,36821,39715,41580,41882,Good
166,187,631,948,1306,2209,4721,7761,10222,12966,15358,17634,21073,23990,28855,34496,40580,46084,54610,62993,68769,76594,81731,85016,Normal
1075,1886,2472,3083,3647,7334,12041,15043,20320,25425,33283,38620,44024,48970,52509,56944,62680,69689,76165,82161,87062,88638,90408,91177,Bad
1994,2776,2833,3579,7763,13112,21036,31377,36868,41822,50238,53536,58404,62379,64809,69821,74398,77935,80989,84482,86995,88393,89120,89254,Bad
0,5,39,74,2135,3789,5506,6781,8373,11047,12887,15423,17267,20538,22809,27346,32837,39299,45586,52573,57111,59515,60205,60587,Normal
52,73,548,686,1079,1944,3469,6145,7941,10460,13774,16171,18914,21936,23849,27421,30360,34280,36809,40076,41551,42232,43906,44204,Good
242,279,320,382,936,2238,4044,7062,7952,9373,10241,11551,13308,15264,16481,19199,21411,22756,23908,26109,27193,28262,28810,28968,Good
0,0,17,357,814,2006,2808,3613,4371,5313,6066,6975,7864,9496,10981,12418,14308,16521,18333,20823,22243,22854,23180,24118,Good
22,52,203,438,688,1318,2732,4840,6272,8392,10894,13807,15780,17759,20447,23428,25724,28834,32334,35604,37156,39574,40177,40573,Good
0,211,351,428,860,1654,2639,4102,7837,9998,13574,16170,19881,23249,27546,31436,35245,39729,42999,44315,48468,49910,51252,51600,Normal
0,6,58,112,268,689,1353,2690,3672,5111,6409,8822,11730,14963,17593,22456,25913,31087,36049,40048,43691,45468,46120,46855,Normal
1156,1359,2050,2308,3156,4816,6423,9789,12015,14664,17963,20785,25177,29270,33906,38677,49831,63096,75819,89206,99449,107918,110677,112944,Bad
246,400,946,1179,1604,3274,4681,5743,6982,9978,11545,14371,17565,21605,24260,29958,33639,37932,43324,48134,51342,53015,53423,54059,Normal
0,50,150,366,1228,1888,3018,4102,5540,8833,10792,12370,14932,17475,20377,22707,26660,29604,32677,35866,38333,39713,40742,41406,Good
183,200,393,550,1452,2163,4457,5532,8998,10216,12557,15156,18106,20017,24750,28991,34113,38657,43841,48502,52481,55142,55835,56669,Normal
28,46,217,639,1260,5025,8490,10624,13798,17379,20331,22352,24625,26847,29412,31915,34206,36471,38226,39292,41245,42179,42234,42336,Good
258,310,347,461,853,1203,1754,2392,3977,5685,6949,8291,11152,14171,16350,20148,24980,29744,35569,40266,46734,51862,52830,53534,Normal
665,709,880,1062,1787,3314,4789,6443,8065,11353,13189,15400,18376,22117,25605,28440,33195,37768,42853,49104,54068,59238,62345,65730,Normal
1385,1589,1618,1859,2215,3203,4159,8186,11969,14534,18107,21741,24685,27849,30469,32611,35084,37290,40440,41166,41673,42882,43185,43208,Good
4,4,36,144,340,768,1673,2634,3927,5335,6797,8790,10854,13748,18219,22585,28278,35181,41673,52449,63143,72082,76624,80416,Normal
1607,1791,1912,2104,2525,4118,6138,11484,13543,17848,20690,24658,27964,32930,34766,39557,46227,53592,61488,66673,70396,73992,74733,75308,Normal
2153,2558,3482,5448,8802,12374,16986,23287,28120,32433,36939,40276,44079,47778,51179,54237,58242,61280,64702,67862,70529,72472,73036,73400,Normal
0,106,226,490,570,1385,2159,3069,4735,6721,8171,10855,13046,14557,16619,19067,20650,22930,24640,25776,27072,27531,28463,28819,Good
1017,1200,1296,1444,1654,3090,3518,4196,5756,6722,8714,9918,11502,12931,14331,16131,18564,20172,21571,23247,24708,25149,25869,26093,Good
51,83,108,162,346,1287,2559,3248,4068,4489,5011,6124,6979,8645,11279,13420,16175,19926,23044,25313,27720,28493,29145,29481,Good
0,4,356,1136,2777,2942,3241,4601,5429,6225,6833,7911,9633,10993,13159,15325,17592,20382,22805,25058,27908,28378,28622,29696,Good
116,122,179,220,319,636,1960,3497,3926,6930,7888,9732,10606,12429,14314,16054,20596,23592,27440,29365,30597,31147,31734,31996,Good
145,149,214,489,1074,2446,5964,6852,8151,9013,11569,15926,17568,20806,23583,29108,36268,44567,48197,53299,57414,60128,61390,61582,Normal
0,6,52,75,245,666,2274,2969,3953,5161,6797,7970,9036,10339,11765,14170,15897,18022,19473,20951,23326,25425,26589,26762,Good
64,593,946,1225,1522,2783,4491,6521,8193,9617,11162,12656,14399,16346,18193,20364,23459,26069,28041,30830,32720,34169,35065,35750,Good
234,347,452,616,1350,1893,3637,4548,5283,6034,8269,9473,11444,13139,14688,17316,19602,22197,25330,27573,29406,30182,31535,31707,Good
584,627,761,903,999,1772,3260,4322,4971,5893,7121,8220,9711,11137,13645,15522,18016,20186,22906,25150,26285,27898,28576,28731,Good
1149,1187,1423,1822,1901,2843,3283,5411,6802,9401,11308,14233,17290,18605,21620,25463,28517,33353,40023,47623,54924,62911,67908,71101,Normal
793,1666,1898,2927,3667,6662,8855,12509,17400,22234,25334,28595,32070,34353,37079,41898,46493,50200,53797,58270,60616,63489,64069,64205,Normal
1961,3820,3876,8197,10660,12573,16144,19989,25728,30067,33173,36500,39990,43674,46604,50080,52776,55610,58790,62094,64578,65699,66546,66990,Normal
260,260,347,536,702,1649,2469,3511,5062,6644,8368,11253,14999,19195,23152,27986,34577,39495,43519,48175,50477,53293,54495,56452,Normal
818,1049,1101,1212,1435,1894,2594,3525,4730,6044,7933,9960,13287,17269,21427,28135,33664,45075,55013,66495,77966,85188,91122,94179,Bad
1371,1781,2429,2759,3156,6246,8885,15896,21272,27895,36415,43840,49519,57083,66012,74994,82643,90511,100226,109316,115603,121504,122650,123366,Bad
562,596,683,1056,1962,3222,5137,8693,13669,16157,20782,24511,28022,31896,37107,42176,48130,56293,65654,74342,84882,91810,94317,96312,Bad
460,789,896,1120,1903,2866,3748,5143,7246,8924,11202,14987,20105,23866,28247,32093,38246,43377,48021,51295,55617,57913,58737,59389,Normal
0,1091,1188,1320,1539,2748,3588,4475,5704,7752,10053,13562,16725,21413,27805,33944,40834,47978,56477,66441,77345,86866,92254,96865,Bad
4062,6627,6976,12612,17500,22178,25879,32059,40754,43585,46787,49437,52004,53962,56161,59388,61813,64279,65636,68188,69826,71549,72414,72416,Normal
82,591,760,991,2146,3963,6248,8721,12077,15293,17759,21787,24730,27982,31936,36930,41280,45882,49557,52864,55557,57157,57797,58376,Normal
3053,3775,4506,8117,11801,15760,20101,25895,31551,34681,40378,44587,48119,50892,53877,56979,60058,61506,65735,67121,68326,69370,69706,70200,Normal
19,24,66,225,324,2075,2593,2992,4191,5350,6749,9464,11459,13167,16448,19834,23357,27480,30861,33030,35322,37758,38341,39700,Good
183,201,360,543,814,2631,4218,5214,6884,9204,11311,14298,18640,21537,25427,30187,35010,39813,43617,47069,51095,53577,54068,55195,Normal
236,488,873,1078,1150,1931,3193,4221,6455,7439,8993,12276,16027,20303,27517,37623,46612,57745,71181,83025,94154,102581,107441,111227,Bad
230,235,371,641,6212,7793,11295,13663,16697,18746,21346,24555,27546,31510,36879,43378,48601,55440,62592,68871,73089,76752,77654,78674,Normal
211,504,950,2738,3762,7167,12005,20134,28197,36997,44127,51344,61332,70050,80268,90057,100854,111638,119717,127297,133912,140561,142636,144346,Bad
258,315,448,680,880,2206,4262,5224,6605,8463,11033,13581,16809,19134,23381,28003,32052,36116,39170,42843,46319,48270,49644,49956,Normal
366,722,875,1133,1336,2229,4658,8039,11502,15220,19602,23160,27038,30583,35360,41936,48049,54108,60132,68332,73406,79002,83767,85968,Bad
78,284,386,1524,4257,9341,14686,17060,22577,25616,29350,33100,34923,37994,40818,46645,51677,57742,62033,66886,69398,70709,70993,71016,Normal
77,81,103,1027,1284,2152,2901,4273,6744,8255,10688,13322,15498,17463,20727,24861,28061,31697,35812,38011,41714,43845,46446,47359,Normal
255,439,1477,1745,2056,3622,5738,9337,13722,17279,21669,27042,30422,35789,42002,49213,55453,61317,66822,73450,78321,82288,84780,86042,Bad
820,988,1072,1750,2314,3715,5824,9055,10504,13474,16834,19232,23386,27266,31847,37544,43998,50742,57512,63867,70015,74564,75919,77378,Normal
231,241,301,461,661,1368,2066,2924,3878,5282,6566,8235,9521,11453,13846,17243,19107,22334,24689,27296,29138,30975,31370,31827,Good
119,256,365,463,920,1904,2697,4001,5482,7013,9575,12356,13806,16313,20173,22774,25536,28988,31146,33839,35743,37161,38252,38419,Good
104,106,165,281,383,885,2649,4207,6500,7630,10151,13455,15304,16813,19862,21318,23141,24224,25160,25984,26509,26904,27177,27201,Good
106,120,135,309,474,1572,2386,3362,4417,5882,7290,9024,11829,14023,17213,20612,24658,28966,31874,35515,39149,41319,42555,43615,Good
81,90,95,371,543,2595,3294,4317,5701,7371,9508,11884,14456,16309,19797,23618,27157,30240,33880,36358,39267,42113,42937,43565,Good
371,376,408,1244,2264,3589,5017,5674,7369,9034,10467,12706,14057,15896,18995,22374,26692,30614,34292,37508,40784,43388,44423,46525,Normal
286,286,322,455,690,1221,1595,2510,3532,4573,6296,7940,9701,12324,14472,16765,19215,21391,23887,26539,28153,29192,29333,29696,Good
182,182,184,327,1134,1980,3279,5198,7089,9062,11652,14314,17203,20951,25004,30879,35441,39691,43478,46813,49334,51266,51812,51906,Normal
258,260,278,332,444,1185,1851,4547,5140,7180,8508,9782,12220,14365,16505,17899,19468,20825,22003,22244,22900,23649,23669,23888,Good
41,41,67,127,206,362,754,1279,1704,2875,3733,4429,5224,6421,8546,11525,15885,22071,29190,36320,42725,46911,50463,51045,Normal
475,665,693,1491,3722,6020,10354,11964,13761,16648,18674,20161,21562,23257,24137,26627,29564,33838,37305,41391,44121,46152,48301,48569,Normal
240,248,337,501,750,2426,4211,6471,8526,10285,13722,16797,20878,25763,30546,36373,43141,47294,53251,58407,61350,63342,63827,64069,Normal
161,161,207,347,556,1167,1873,3761,4743,8307,9889,11380,13589,15672,18492,20411,22813,24901,27222,28182,28804,29241,29388,29454,Good
6,7,45,256,565,1063,3524,4941,6171,8289,9948,12932,16193,19855,23643,28855,33455,38244,43653,47195,49220,50484,50901,50941,Normal
13,13,145,584,1063,2080,4494,6900,8445,11491,13528,15863,17561,20143,22368,26196,28568,31443,34564,36866,38217,39451,40123,40306,Good
262,262,361,878,1189,1869,2622,4529,6157,8514,10387,13329,15215,16987,20646,23925,26244,28868,31292,33615,35930,37361,37897,37934,Good
0,0,48,562,839,1043,2207,3773,5214,7718,9989,11517,12424,13618,14707,15828,16859,19219,19740,20112,20373,21706,22031,22598,Good
0,0,11,228,436,515,1010,1349,2882,4882,6747,8579,10318,12843,14350,18262,20486,22536,25003,26690,28932,30018,31318,31853,Good
165,185,235,958,1629,3080,5038,6584,8983,11282,14210,19394,23840,31398,41168,51022,60849,70383,80954,88794,94994,98965,102059,103515,Bad
24,24,78,1431,3517,5658,8110,10566,11917,14684,17501,20084,22564,25072,27483,29321,33043,35181,38120,40673,42495,43325,43601,43648,Good
458,803,884,1431,2283,3909,7708,9283,13230,16888,19185,22614,25459,28576,33112,37193,42918,47075,51440,56601,59810,62026,64044,67040,Normal
590,952,955,1632,1782,3374,3763,5690,7113,8533,10944,12816,15109,16067,17750,18580,19629,19947,20431,21244,21365,21622,21830,21831,Good
0,990,990,2167,2273,2501,2768,2917,3439,3944,4695,5718,7764,9116,10445,11858,13932,16109,17798,18806,19588,20132,20446,21135,Good
29,29,54,152,444,1610,3152,4458,6027,7484,10015,11769,14477,15766,18190,21641,23882,26335,28583,31551,34262,36136,37028,37329,Good
87,87,539,750,1589,3245,5035,6863,9018,11900,14994,19279,23349,28416,32707,37744,44041,53899,66056,80999,91637,97767,100147,101301,Bad
602,1546,2296,2526,3830,5091,7504,9185,12236,15634,18833,22711,26119,30750,37632,48001,60508,76317,87783,104108,116954,124039,130331,131202,Bad
27,32,69,251,548,1309,2118,2869,5768,7122,10459,11952,15635,17286,21088,24259,27220,30352,34053,37240,39717,41450,42288,42371,Good
105,115,190,352,457,2216,3670,6926,8082,9487,11044,12857,15659,17787,21990,24494,28101,32631,35256,38539,42850,46967,49627,50124,Normal
359,648,668,873,1604,2930,4016,5811,7480,10115,12094,14240,16607,19571,23355,25990,28563,30859,33382,36003,37362,38660,39178,39558,Good
2,14,51,136,1148,1844,3443,6407,8181,10723,11714,13617,14488,15473,16116,17417,18594,19197,20069,20759,21139,21355,21506,21535,Good
0,1,9,74,229,1104,1383,2439,2984,3976,4597,6162,6635,7664,9887,11942,14393,17566,19764,21530,23368,24673,25322,25724,Good
18,47,151,486,1182,3503,5844,9720,12848,17543,21633,25850,30494,35658,41728,49049,54078,61282,65413,70170,72888,74051,74567,74793,Normal
13,137,238,446,796,1992,4578,5758,7919,11000,13990,19828,24508,28623,33541,37469,41734,45699,49122,51966,53676,54665,55815,55871,Normal
0,2,144,863,1760,3252,4600,6189,7422,9615,11234,13472,15663,18131,20210,23404,26694,28830,31247,33245,36211,36951,37695,38293,Good
0,3,141,826,2532,3913,5271,7808,11023,15151,21647,28121,34777,42074,51076,58226,70197,81049,90911,102697,114606,120618,124915,126998,Bad
1155,1457,1670,1790,2679,3911,5674,6882,9494,12966,14864,17528,19271,20442,22029,23120,24433,25335,26129,26645,27209,27309,27382,27639,Good
0,5,45,62,890,1352,2828,3986,5150,7647,10016,12884,15728,18700,21671,25057,27233,29770,31109,32474,33436,33874,34874,35044,Good
0,5,61,139,651,2535,3657,5831,8660,11310,15356,18154,19690,22750,24733,27357,28895,31171,32680,33689,34038,34226,34295,34318,Good
