"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","Cluster"
"707",0,17,28,230,602,1133,2631,4152,5713,10371,12386,14914,17594,19735,22341,25143,27935,31106,34290,37506,39122,41071,41668,41834,"Great"
"708",450,463,541,984,2160,3495,6159,10514,15617,22937,30054,36778,43939,51917,61799,71202,81558,91770,99819,107678,115728,120276,122163,123974,"Normal"
"709",753,754,923,1891,2779,5113,8217,11973,16289,19533,24822,31612,36029,41432,47996,53633,58654,65793,69200,72505,76153,77113,78567,79040,"Good"
"711",8,259,493,1002,1866,3624,6102,9562,11339,13520,16473,19213,21746,25250,29242,32571,35550,38677,43942,46519,49380,50634,51030,51241,"Great"
"712",267,277,382,670,3439,5331,9682,12712,17076,21828,29927,34123,40153,45494,51624,58496,65569,73709,80338,87763,95017,97494,98267,98700,"Normal"
"714",155,163,165,530,2710,3430,5705,9275,12895,14673,17483,19847,22322,25902,30375,35077,38883,43204,49164,52673,55619,57153,59760,60416,"Good"
"715",456,507,727,1289,2856,5522,11517,15732,19520,24600,29949,35750,42847,50211,58063,65722,74199,81181,88425,93763,98550,101059,102487,103090,"Normal"
"716",76,113,229,1217,6402,10851,15102,21545,25915,32266,39114,46679,54013,60380,66518,75388,83055,93764,100341,106919,110807,113980,116468,116717,"Normal"
"717",3,94,245,659,1993,4413,7120,10032,14342,18973,23867,28537,32145,38685,43875,51431,58297,65267,73129,79622,86874,92436,96173,98708,"Normal"
"718",1230,1811,2572,3532,5744,9056,12016,15190,18019,20869,24896,29483,36354,42718,46248,52413,57441,63396,69430,74485,78279,81894,84958,85537,"Good"
"719",540,630,1016,1581,2667,5175,10037,13562,18068,22289,26802,30988,35143,41155,46936,52460,57800,65477,71851,76386,82551,86912,89757,91882,"Normal"
"724",232,243,286,300,484,816,2627,5527,8641,10748,13195,14965,18844,20986,23810,26335,28867,30780,31852,32675,34085,35050,35678,36689,"Great"
"725",289,320,398,750,1837,3298,4966,6909,10323,15693,19253,22757,27487,31619,36241,42060,46407,51011,54943,59091,62600,64647,67191,67935,"Good"
"728",385,499,759,2315,3670,6355,14455,17268,22292,28083,33443,44363,49235,54191,60369,67053,73719,80667,87622,94040,98982,102921,104542,105204,"Normal"
"729",398,1859,2518,3721,5565,6629,12338,15641,19900,25228,29298,34694,40486,48203,56049,63426,73443,80966,90005,97976,104808,110374,116035,119243,"Normal"
"730",493,897,1194,2153,3860,5660,10108,15315,19842,25433,29506,35287,40250,45376,50709,56408,60952,65829,68805,71328,74358,75128,75820,76163,"Good"
"731",288,418,512,681,1045,1988,4071,5881,7875,10230,13870,17088,21156,24195,27294,30875,35160,39045,43941,47084,50197,52375,53499,54106,"Great"
"732",179,313,499,895,1388,2797,5274,6563,9775,11478,15279,17823,20232,25297,27927,33345,35947,41065,45025,48609,52377,55066,56681,57693,"Great"
"733",6,190,400,920,3590,5245,7269,10905,13688,18854,22631,28011,33297,38987,47243,53438,61408,66109,71438,76981,81036,84024,85867,87444,"Good"
"734",592,961,1226,2088,3377,4403,6827,11530,16186,19248,25630,32819,38503,46598,53914,62576,71641,79222,87111,93848,100190,102400,103800,104359,"Normal"
"736",1251,1626,1721,2070,2997,5223,8237,10438,12783,14330,17966,20844,24343,26829,29192,31737,34811,37689,40661,43234,46528,48105,48929,50292,"Great"
"737",846,1121,1627,1735,2093,2556,3423,5253,6772,9299,12119,15199,16823,19234,22092,25537,27524,30308,33058,35084,36076,36817,37454,37920,"Great"
"739",13,13,656,841,2812,3199,5191,7064,9150,10671,12711,15120,17966,20878,24257,27088,28783,31062,33309,34249,35934,37349,37740,37914,"Great"
"740",222,267,385,499,1394,2795,4819,6006,9207,12031,13963,17062,20836,24714,28980,33318,38869,45075,53105,64390,75213,82211,86523,92758,"Normal"
"741",2210,2759,3115,3748,4364,5551,8642,13278,19863,26433,32993,41547,51107,59454,65556,72179,79844,84311,89187,93117,96521,98553,99447,99832,"Normal"
"742",373,377,453,726,1107,2473,6012,8961,15404,19713,23978,28674,32395,37566,42709,48621,52859,58875,64500,68870,73997,76619,79116,79526,"Good"
"743",100,513,534,837,1648,4929,8532,12923,16931,23487,27522,33326,38643,44551,51003,56582,62311,67799,71363,76490,81537,83849,85109,86396,"Good"
"744",425,440,557,746,1784,3660,6242,9200,11082,14088,17195,21013,22945,26373,28367,31946,35075,36712,39854,41648,43223,45153,46351,46367,"Great"
"749",111,125,141,327,643,1807,3177,4979,6924,9192,11538,14508,18795,23507,26473,30409,34685,40458,43828,47760,52030,54438,56767,57690,"Great"
"750",244,244,341,794,2196,4742,6948,8838,12659,15789,18759,21846,26199,30682,34911,38579,42842,46956,51036,55014,60460,61776,62816,63586,"Good"
"753",90,127,215,577,1523,2809,5987,10370,13713,18045,22886,27631,31971,37540,42403,46987,53678,59225,65163,71099,74570,77337,78323,78878,"Good"
"754",50,119,252,363,1360,3678,5833,8494,11489,13699,16613,22503,25080,30088,34698,39269,44555,48965,54677,58641,62125,64807,65539,65698,"Good"
"755",586,625,794,1092,1673,4985,7386,8399,11500,13859,16242,18330,22169,25906,29860,33193,35691,39047,41366,42701,43890,44960,45066,46416,"Great"
"756",637,646,698,865,2060,4259,6945,11616,13113,16917,21555,23435,25302,28380,31327,34531,37225,39658,42617,45285,48098,49480,50723,50914,"Great"
"757",34,34,95,737,1266,3315,6221,9788,13182,21023,34317,44965,54152,64672,73406,82236,90066,98009,103657,107444,111068,113020,113881,114241,"Normal"
"758",559,596,676,1907,3382,4131,5444,8149,10138,13000,17982,20753,23777,27464,31341,36572,39816,42964,45207,46592,47229,48787,49000,49128,"Great"
"759",12,150,198,371,955,1506,3795,4875,6694,8731,11770,13654,14510,16210,19830,21725,24298,26648,28816,31156,33290,35140,35315,35705,"Great"
"761",7,22,226,1195,1779,2589,5024,7203,10478,12537,16914,20476,23758,27799,32250,36221,40355,45092,49693,52592,55225,57637,59349,60704,"Good"
"762",1151,1234,1529,3280,4577,5928,10792,14500,20073,23630,28264,31462,35034,38271,41058,44487,46712,50741,53403,54477,55996,56707,56784,56824,"Great"
"764",60,108,205,481,752,1433,3037,5671,9445,12257,14834,17914,19876,23461,25965,29474,31703,35438,37858,40300,42719,44664,44819,45183,"Great"
"765",501,513,895,1109,1651,3508,4820,8007,9644,10856,13224,15443,17212,19562,21543,23958,26867,30310,31191,31910,33083,33479,34183,34217,"Great"
"766",14,47,92,259,588,1303,2400,3394,6398,9827,13223,15843,18449,22009,24437,28800,32373,36555,41503,46340,50595,54656,55190,55722,"Great"
"767",163,206,500,1157,3163,5180,10714,15321,20657,26162,32044,42719,53944,67765,86074,104589,121846,140595,155744,170706,183183,193723,202975,208427,"Meltdown"
"768",1188,2141,2288,3698,7655,12490,18231,25757,35250,47000,59625,73258,84503,97170,110295,122163,135187,146689,158744,168454,174835,181672,184786,185965,"Meltdown"
"769",1570,1617,1848,2446,2973,4334,7488,10462,16940,18874,22264,26223,31680,36094,43074,49162,55702,61073,65689,67788,69634,70750,71233,71524,"Good"
"774",771,1058,1156,1803,2767,6705,11045,18460,31441,41145,54394,71978,89263,109392,130568,148359,168583,188301,202825,216924,228017,235802,239252,241073,"Meltdown"
"775",481,489,781,1403,3399,7661,11875,17691,21679,28296,33311,39578,44752,49802,53816,58939,63091,68178,71946,77531,81118,83122,85181,85902,"Good"
"778",166,166,203,379,2165,2640,5123,6339,8278,9593,14800,19836,22211,25064,27289,30851,32949,36913,41285,43982,46361,48320,49795,50057,"Great"
"779",674,755,843,1045,1467,4323,5993,8535,11890,14078,17156,20447,23301,27535,32778,36625,39694,44176,48698,52562,56418,57243,57904,58419,"Great"
"780",41,54,165,264,754,2085,3434,6841,9821,13146,14605,18132,19855,22767,24843,28371,30228,32938,36131,38522,39919,41098,41678,42233,"Great"
"781",332,343,364,638,1232,2367,3803,6102,9870,12768,15732,20069,23564,26454,29308,36288,39766,46805,51593,56092,60286,64356,65590,66419,"Good"
"782",366,397,543,2233,3584,5891,10337,14062,16812,20166,23807,27527,30822,34400,37515,41057,43562,47960,52411,56386,58989,61462,63032,63475,"Good"
"783",43,71,223,464,1147,2192,3827,7270,9725,10701,12181,14878,18541,20498,23919,26349,28902,30750,32966,35533,36805,37606,38061,38536,"Great"
"784",189,455,490,661,1335,2226,3246,4234,5709,8552,10269,14382,16828,19805,22567,25911,29388,32816,36898,40309,43006,44645,45486,45606,"Great"
"786",0,69,185,518,1982,2984,4488,8042,10621,11982,13772,15936,17842,20852,23564,27736,30792,36009,40464,43647,46439,48886,50133,50274,"Great"
"787",13,21,100,628,1390,3481,6687,12123,17286,24204,30266,37723,44039,52289,59734,66934,74505,84150,90775,97149,102621,105689,107888,109442,"Normal"
"789",316,338,415,888,1694,3859,5708,7219,9062,10107,12285,14913,16653,21795,25505,29372,33791,39229,43070,46935,49479,51230,52934,53427,"Great"
"790",141,966,1233,1925,2647,3734,4922,9619,11768,14145,18222,21364,23393,26305,28649,31149,33088,34961,37127,38969,38969,38969,38969,38969,"Great"
