X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Cluster
8,21,84,150,324,384,533,829,1307,1571,2854,3297,4024,4843,5736,6296,7078,7889,8835,9434,10717,11651,12215,12514,Normal
27,128,215,270,275,304,340,696,1059,1616,2706,3237,4073,4597,5272,5905,6919,7518,7740,8222,8518,8967,9169,9228,Good
61,112,136,159,214,359,566,1106,1468,1884,2434,2785,3952,5124,5708,6150,6825,7381,7968,8911,9713,10490,11046,11210,Good
53,92,324,417,516,597,680,1143,1833,2481,3305,3926,4632,5707,6520,7561,8321,8868,9457,10721,11486,12435,13478,14179,Normal
11,151,365,435,479,528,689,1024,1705,2711,3615,5182,6765,8197,9899,10718,12437,13202,13939,14868,15798,16598,17208,17590,Normal
233,255,364,370,392,518,700,1331,1564,1945,2508,2892,3509,4042,4830,5517,5874,6654,7363,8045,8521,9247,9853,9923,Good
8,27,37,372,385,443,563,919,1431,2436,3155,4561,5771,6709,8091,9429,10984,11784,12459,13511,14993,16265,17444,17666,Normal
389,421,1083,1454,1475,1581,1892,2013,2595,3076,4497,5487,6441,7067,7403,7995,8726,9051,9763,10306,10905,11122,11470,11568,Good
7,17,18,18,59,150,214,470,612,813,1369,1677,2335,2615,3206,3725,4291,5033,5684,6391,7351,8221,8506,8669,Good
9,72,151,151,170,205,307,510,848,1156,1531,1866,2160,2722,2879,3363,3651,4154,4511,4892,5406,5741,5789,6157,Good
0,1,7,8,19,34,169,317,592,1129,1674,2400,2954,3821,4495,4971,5561,6193,7219,7816,8348,9126,9559,9576,Good
122,122,122,143,144,248,435,870,1565,2028,2603,3139,3619,4118,4672,5293,5686,6338,6891,7299,7904,8343,8590,8988,Good
60,65,66,66,121,366,678,1296,1891,3264,4293,5761,8317,10142,12585,14695,16657,18527,20031,21525,22580,24380,25137,25595,Meltdown
133,151,191,239,334,381,705,1145,1427,2026,2961,3429,4085,4946,5527,6269,6551,6848,7167,7721,8167,8525,8732,8866,Good
73,95,134,134,263,445,710,1279,1641,2311,4053,4996,6919,8649,9924,10934,12013,12959,13768,14744,15678,16969,17251,17636,Normal
18,37,251,305,332,379,670,1508,2361,2987,3904,4488,5473,6305,7461,8959,9539,10512,12079,13976,15139,16253,16815,17195,Normal
